Ground,Span,Span_2,Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,
"Jawaharlal Nehru Stadium, New Delhi - India",1984-1991,7,2,2,0,0,967,25,1113,38.68,5.21,
"University Stadium, Trivandrum - India",1984-1988,4,2,1,0,1,684,20,795,34.2,5.16,
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad - India",1984-2014,30,23,23,0,0,10569,323,12749,32.72,4.97,
"Arbab Niaz Stadium, Peshawar - Pakistan",1984-2006,22,15,15,0,0,6178,204,7835,30.28,4.73,
"Iqbal Stadium, Faisalabad - Pakistan",1984-2008,24,16,16,0,0,6785,225,8618,30.15,4.72,
"Nehru Stadium, Pune - India",1984-2005,21,11,11,0,0,4824,149,6095,32.37,4.74,
"Tasmania Cricket Association Ground, Hobart - Australia",1985-1985,0,1,1,0,0,395,9,544,43.88,4.35,
"Vidarbha C.A. Ground, Nagpur - India",1985-2007,22,14,14,0,0,7131,195,7487,36.56,5.71,
"Sector 16 Stadium, Chandigarh - India",1985-2007,22,5,5,0,0,2034,58,2464,35.06,4.95,
"Kensington Oval, Bridgetown, Barbados - West Indies",1985-2019,34,37,36,0,1,15988,515,19200,31.04,4.99,
"Pindi Club Ground, Rawalpindi - Pakistan",1985-1987,2,2,2,0,0,862,30,1067,28.73,4.84,
"North Tasmania Cricket Association Ground, Launceston - Australia",1986-1986,0,1,1,0,0,370,18,558,20.55,3.97,
"Asgiriya Stadium, Kandy - Sri Lanka",1986-2001,15,6,5,0,1,2178,63,2717,34.57,4.8,
"R.Premadasa Stadium, Khettarama, Colombo - Sri Lanka",1986-2018,32,126,118,0,8,53279,1797,66370,29.64,4.81,
"Madhavrao Scindia Cricket Ground, Rajkot - India",1986-2009,23,12,12,0,0,6243,164,6653,38.06,5.63,
"Green Park, Kanpur - India",1986-2017,31,15,15,0,0,7056,194,8223,36.37,5.14,
"Wankhede Stadium, Mumbai - India",1987-2017,30,21,21,0,0,9620,311,11429,30.93,5.05,
Devonport Oval - Australia,1987-1987,0,1,1,0,0,325,19,588,17.1,3.31,
"Eden Gardens, Kolkata - India",1987-2017,30,30,29,0,1,13688,433,16053,31.61,5.11,
"MA Chidambaram Stadium, Chepauk, Chennai - India",1987-2017,30,21,20,0,1,9316,322,10856,28.93,5.14,
"Bellerive Oval, Hobart - Australia",1988-2018,30,36,35,1,0,16357,524,20159,31.21,4.86,
"Nahar Singh Stadium, Faridabad - India",1988-2006,18,8,8,0,0,3479,121,4381,28.75,4.76,
